rsection,rbeg_chg,rend_chg,rlength,rdir,BEGLAT,BEGLONG,ENDLAT,ENDLONG,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10
610410,0,0.214,0.214,5,0.430558093,0.955615395,0.430577266,0.955585106,2056_1,5,1,610410,,,,,,
610410,0.214,0.428,0.214,5,0.430577266,0.955585106,0.430596314,0.955554737,2056_2,5,1,610410,,,,,,
610410,0.428,0.53,0.102,5,0.430596314,0.955554737,0.430605622,0.955540302,2056_3,5,1,610410,,,,,,
610410,0.53,0.616,0.086,5,0.430605622,0.955540302,0.430613337,0.955528115,2056_4,5,1,610410,,,,,,
610412,0,0.214,0.214,5,0.430558093,0.955615395,0.430577266,0.955585106,2056_1,5,2,610412,,,,,,
610412,0.214,0.428,0.214,5,0.430577266,0.955585106,0.430596314,0.955554737,2056_2,5,2,610412,,,,,,
610412,0.428,0.53,0.102,5,0.430596314,0.955554737,0.430605622,0.955540302,2056_3,5,2,610412,,,,,,
610412,0.53,0.616,0.086,5,0.430605622,0.955540302,0.430613337,0.955528115,2056_4,5,2,610412,,,,,,
610413,0,0.214,0.214,5,0.430558093,0.955615395,0.430577266,0.955585106,2056_1,5,3,610413,,,,,,
610413,0.214,0.428,0.214,5,0.430577266,0.955585106,0.430596314,0.955554737,2056_2,5,3,610413,,,,,,
610413,0.428,0.53,0.102,5,0.430596314,0.955554737,0.430605622,0.955540302,2056_3,5,3,610413,,,,,,
610413,0.53,0.616,0.086,5,0.430605622,0.955540302,0.430613337,0.955528115,2056_4,5,3,610413,,,,,,
610414,0,0.214,0.214,5,0.430558093,0.955615395,0.430577266,0.955585106,2056_1,5,4,610414,,,,,,
610414,0.214,0.428,0.214,5,0.430577266,0.955585106,0.430596314,0.955554737,2056_2,5,4,610414,,,,,,
610414,0.428,0.53,0.102,5,0.430596314,0.955554737,0.430605622,0.955540302,2056_3,5,4,610414,,,,,,
610414,0.53,0.616,0.086,5,0.430605622,0.955540302,0.430613337,0.955528115,2056_4,5,4,610414,,,,,,
610420,0,0.028,0.028,5,0.43078717,0.955879951,0.430790926,0.955882567,2057_1,5,1,610420,,,,,,
610420,0.028,0.168,0.14,5,0.430790926,0.955882567,0.430809492,0.955895597,2057_2,5,1,610420,,,,,,
610420,0.168,0.245,0.077,5,0.430809492,0.955895597,0.43081965,0.955902798,2057_3,5,1,610420,,,,,,
610420,0.245,0.321,0.076,5,0.43081965,0.955902798,0.430829755,0.955909864,2057_4,5,1,610420,,,,,,
610420,0.321,0.336,0.015,5,0.430829755,0.955909864,0.430831679,0.955911214,2057_5,5,1,610420,,,,,,
610422,0,0.028,0.028,5,0.43078717,0.955879951,0.430790926,0.955882567,2057_1,5,2,610422,,,,,,
610422,0.028,0.168,0.14,5,0.430790926,0.955882567,0.430809492,0.955895597,2057_2,5,2,610422,,,,,,
610422,0.168,0.245,0.077,5,0.430809492,0.955895597,0.43081965,0.955902798,2057_3,5,2,610422,,,,,,
610422,0.245,0.321,0.076,5,0.43081965,0.955902798,0.430829755,0.955909864,2057_4,5,2,610422,,,,,,
610422,0.321,0.336,0.015,5,0.430829755,0.955909864,0.430831679,0.955911214,2057_5,5,2,610422,,,,,,
610423,0,0.028,0.028,5,0.43078717,0.955879951,0.430790926,0.955882567,2057_1,5,3,610423,,,,,,
610423,0.028,0.168,0.14,5,0.430790926,0.955882567,0.430809492,0.955895597,2057_2,5,3,610423,,,,,,
610423,0.168,0.245,0.077,5,0.430809492,0.955895597,0.43081965,0.955902798,2057_3,5,3,610423,,,,,,
610423,0.245,0.321,0.076,5,0.43081965,0.955902798,0.430829755,0.955909864,2057_4,5,3,610423,,,,,,
610423,0.321,0.336,0.015,5,0.430829755,0.955909864,0.430831679,0.955911214,2057_5,5,3,610423,,,,,,
610424,0,0.028,0.028,5,0.43078717,0.955879951,0.430790926,0.955882567,2057_1,5,4,610424,,,,,,
610424,0.028,0.168,0.14,5,0.430790926,0.955882567,0.430809492,0.955895597,2057_2,5,4,610424,,,,,,
610424,0.168,0.245,0.077,5,0.430809492,0.955895597,0.43081965,0.955902798,2057_3,5,4,610424,,,,,,
610424,0.245,0.321,0.076,5,0.43081965,0.955902798,0.430829755,0.955909864,2057_4,5,4,610424,,,,,,
610424,0.321,0.336,0.015,5,0.430829755,0.955909864,0.430831679,0.955911214,2057_5,5,4,610424,,,,,,
610430,0,0.213,0.213,5,0.430712137,0.955732044,0.430731313,0.955701825,2058_1,5,1,610430,,,,,,
610430,0.213,0.427,0.214,5,0.430731313,0.955701825,0.430750501,0.955671415,2058_2,5,1,610430,,,,,,
610432,0,0.213,0.213,5,0.430712137,0.955732044,0.430731313,0.955701825,2058_1,5,2,610432,,,,,,
610432,0.213,0.427,0.214,5,0.430731313,0.955701825,0.430750501,0.955671415,2058_2,5,2,610432,,,,,,
610433,0,0.213,0.213,5,0.430712137,0.955732044,0.430731313,0.955701825,2058_1,5,3,610433,,,,,,
610433,0.213,0.427,0.214,5,0.430731313,0.955701825,0.430750501,0.955671415,2058_2,5,3,610433,,,,,,
610434,0,0.213,0.213,5,0.430712137,0.955732044,0.430731313,0.955701825,2058_1,5,4,610434,,,,,,
610434,0.213,0.427,0.214,5,0.430731313,0.955701825,0.430750501,0.955671415,2058_2,5,4,610434,,,,,,
610440,0,0.254,0.254,5,0.430562033,0.9556716,0.430584756,0.955635634,2059,5,1,610440,,,,,,
610442,0,0.254,0.254,5,0.430562033,0.9556716,0.430584756,0.955635634,2059,5,2,610442,,,,,,
610443,0,0.254,0.254,5,0.430562033,0.9556716,0.430584756,0.955635634,2059,5,3,610443,,,,,,
610444,0,0.254,0.254,5,0.430562033,0.9556716,0.430584756,0.955635634,2059,5,4,610444,,,,,,
610450,0,0.214,0.214,5,0.430587935,0.955638,0.430607074,0.95560765,2061_1,5,1,610450,,,,,,
610450,0.214,0.428,0.214,5,0.430607074,0.95560765,0.430626252,0.955577408,2061_2,5,1,610450,,,,,,
