IDLocator,L_Route,L_Dir,L_Lane,L_Section
1,DummyFile,5,1,701101
2,3869_6,6,4,400370
3,3869_5,5,4,400360
4,3869_6,6,3,300370
5,3869_5,5,3,300360
6,3869_6,6,2,200370
7,3869_5,5,2,200360
8,3869_6,6,1,100370
9,3869_5,5,1,100360
10,4476_6,6,4,400560
11,701101,5,1,701101
12,3874_6,6,4,400390
13,3874_5,5,4,400380
14,4476_5,5,4,400550
15,3874_6,6,3,300390
16,4476_6,6,3,300560
17,3874_5,5,3,300380
18,4476_5,5,3,300550
19,3874_6,6,2,200390
20,4476_6,6,2,200560
21,3874_5,5,2,200380
22,4476_5,5,2,200550
23,3874_6,6,1,100390
24,4476_6,6,1,100560
25,3874_5,5,1,100380
26,4476_5,5,1,100550
27,RW_020,5,1,100870
28,3888_6,6,2,200430
29,3888_6,6,3,300430
30,3888_5,5,3,300420
31,3888_5,5,2,200420
32,3888_5,5,1,100420
33,3888_6,6,1,100430
34,3807_5,5,3,300300
35,3807_6,6,3,300310
36,3807_5,5,4,400300
37,3807_6,6,4,400310
38,3807_5,5,2,200300
39,75_6,6,1,100730
40,75_5,5,1,100720
41,75_6,6,2,200730
42,3807_5,5,1,100300
43,3807_6,6,2,200310
44,75_5,5,2,200720
45,3807_6,6,1,100310
46,75_5,5,3,300720
47,4078_5_1,5,1,100500
48,75_6,6,3,300730
49,3754_5,5,3,300170
50,3754_5,5,1,100170
51,3754_6,6,1,100180
52,3754_5,5,2,200170
53,3754_6,6,2,200180
54,3754_6,6,3,300180
55,3754_5,5,4,400170
56,3754_6,6,4,400180
57,3752_5,5,2,200150
58,3752_6,6,2,200160
59,3752_5,5,1,100150
60,3752_6,6,1,100160
61,3758_6,6,2,200210
62,3758_5,5,2,200200
63,3758_6,6,1,100210
64,3758_5,5,1,100200
65,4063_5,5,2,200470
66,4063_6,6,2,200480
67,4063_5,5,3,300470
68,4063_6,6,3,300480
69,3772_6_1,6,1,100280
70,4236_5,5,3,301040
71,117_6,6,1,100970
72,117_5,5,1,100930
73,117_6,6,2,200970
74,117_5,5,2,200930
75,117_6,6,3,300970
76,117_5,5,3,300930
77,117_6,6,4,400970
78,117_5,5,4,400930
79,RW_124_5,5,1,102240
80,RW_124_6,6,1,102250
81,RW_124_5,5,2,202240
82,RW_124_6,6,2,202250
83,RW_124_5,5,3,302240
84,RW_124_6,6,3,302250
85,597_6,6,1,101270
86,597_5,5,1,101260
87,597_6,6,2,201270
88,597_6,6,3,301270
89,484_5,5,1,101070
90,484_6,6,1,101080
91,484_5,5,2,201070
92,484_6,6,2,201080
93,484_5,5,3,301070
94,484_6,6,3,301080
95,490_5,5,1,101100
96,490_6,6,1,101110
97,RW_021,5,1,101410
98,490_5,5,2,201100
99,490_6,6,2,201110
100,490_5,5,3,301100
101,490_6,6,3,301110
102,490_5,5,4,401100
103,490_6,6,4,401110
104,4236_5,5,1,101040
105,RW_119_5,5,1,102160
106,3813_5,5,1,100320
107,3813_6,6,1,100340
108,3743_5,5,1,100130
109,3743_6,6,1,100140
110,3743_5,5,2,200130
111,3743_6,6,2,200140
112,3743_5,5,3,300130
113,3743_6,6,3,300140
114,4767_6,6,1,100580
115,7436_5,5,1,100660
116,7438_5,5,1,100680
117,7439_5,6,1,100700
118,4767_5,5,1,100570
